AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
-4.23,-6.17,17.77,-0.55,0.39,-0.32,1721743748624
-7.77,13.46,26.79,0.4,0.18,-0.17,1721743748634
-2.03,25.19,-4.88,0.61,0.06,0.27,1721743748643
5.95,11.42,-3.51,-0.16,0.3,0.61,1721743748652
8.6,3.27,21.78,-0.45,0.4,0.47,1721743748661
0.93,0.53,11.91,0.5,-0.56,0.2,1721743748670
4.63,1.78,-4.92,0.13,0.14,-0.27,1721743748679
-1.88,-0.17,10.82,-0.02,-0.0,-0.14,1721743748688
-0.8,7.85,12.14,0.21,0.15,-0.07,1721743748697
-3.05,6.65,8.15,0.3,-0.16,0.32,1721743748706
0.16,5.86,5.2,0.02,0.18,0.43,1721743748715
4.5,-1.7,11.47,-0.28,0.11,0.27,1721743748724
3.42,-8.01,14.5,-0.11,-0.07,-0.1,1721743748733
2.56,-6.27,7.78,0.19,0.08,-0.58,1721743748742
-3.24,-3.85,7.52,0.11,-0.12,-0.62,1721743748751
-8.07,4.04,16.05,0.15,0.03,-0.27,1721743748760
-5.81,8.29,14.94,0.23,-0.09,0.42,1721743748769
-0.15,3.54,2.02,-0.06,0.11,0.61,1721743748779
4.27,-8.07,-4.09,-0.31,0.01,0.15,1721743748788
4.35,-8.88,5.29,-0.38,0.11,-0.36,1721743748797
-2.11,-5.04,18.14,-0.15,-0.14,-0.67,1721743748806
-6.22,-1.83,21.32,-0.15,-0.05,-0.55,1721743748815
-11.2,1.24,23.31,-0.01,-0.19,0.02,1721743748824
-6.56,0.41,13.97,0.24,-0.18,0.78,1721743748833
2.96,4.86,4.28,0.15,0.12,0.99,1721743748842
11.2,7.57,5.38,0.19,0.2,0.55,1721743748851
11.42,0.99,7.66,0.1,-0.09,-0.27,1721743748860
5.56,5.83,18.26,0.2,-0.01,-0.93,1721743748869
-1.49,7.12,11.0,0.45,-0.52,-0.75,1721743748878
-6.28,2.17,4.82,0.09,0.0,-0.43,1721743748887
-10.53,4.96,11.42,0.02,-0.12,0.14,1721743748896
-4.0,6.82,7.68,0.14,-0.06,0.54,1721743748905
0.52,1.53,1.52,-0.06,-0.07,0.46,1721743748914
5.69,-11.26,7.84,-0.46,0.09,0.27,1721743748923
2.83,-5.11,23.61,-0.2,0.02,-0.12,1721743748932
0.24,-1.17,19.88,0.17,-0.37,-0.29,1721743748941
-3.77,-0.08,8.59,-0.02,-0.19,-0.03,1721743748950
0.38,4.43,12.68,0.01,0.16,0.22,1721743748959
-0.38,-10.69,3.28,-0.14,-0.32,0.03,1721743748968
-2.43,-13.27,11.41,-0.34,0.14,-0.07,1721743748977
-3.17,-4.37,16.91,0.2,-0.08,0.19,1721743748986
-3.13,-4.97,2.28,0.07,-0.18,0.46,1721743748995
1.68,-0.76,11.77,-0.01,0.48,0.46,1721743749004
4.06,-2.48,12.91,0.16,-0.21,0.36,1721743749013
2.93,0.48,10.63,0.2,0.12,0.1,1721743749022
5.49,-0.29,5.5,-0.02,-0.2,0.18,1721743749031
-1.66,0.24,12.58,-0.18,0.16,-0.04,1721743749040
0.08,7.84,21.1,0.07,-0.03,0.1,1721743749049
-0.13,3.23,7.38,0.07,-0.1,0.53,1721743749058
6.12,-2.14,6.74,-0.12,0.25,0.46,1721743749067
5.98,0.37,13.35,-0.07,0.02,0.0,1721743749076
2.72,6.42,17.71,0.04,-0.05,-0.37,1721743749085
-1.37,12.57,13.92,0.41,-0.18,-0.35,1721743749094
-2.22,-2.38,-0.48,0.08,-0.18,0.07,1721743749103
-1.77,-1.25,13.34,-0.45,0.51,0.07,1721743749112
-2.86,10.35,23.7,0.13,-0.15,0.16,1721743749121
1.38,7.61,0.23,0.26,-0.12,0.17,1721743749130
3.02,4.14,-1.61,0.01,0.08,-0.01,1721743749139
1.29,3.56,10.11,0.06,0.09,-0.39,1721743749148
-3.07,3.48,4.14,0.18,-0.49,-0.36,1721743749157
-2.7,-7.04,1.62,-0.28,0.0,-0.1,1721743749166
-1.48,-11.26,14.61,-0.54,0.16,0.09,1721743749175
0.47,-1.32,18.87,0.06,-0.05,-0.04,1721743749184
1.43,-1.99,3.33,0.21,-0.21,-0.21,1721743749193
-0.4,-3.63,11.23,-0.24,0.2,-0.5,1721743749202
-5.82,0.38,24.25,0.17,-0.28,-0.35,1721743749211
-3.8,-4.17,8.73,0.21,-0.17,-0.08,1721743749220
-1.66,-0.51,11.89,-0.08,0.17,-0.06,1721743749229
-1.66,0.74,13.39,0.31,-0.25,-0.03,1721743749239
1.82,-9.36,6.17,0.03,0.05,-0.08,1721743749248
-0.51,5.1,18.63,0.24,0.14,-0.02,1721743749257
2.61,5.3,7.9,0.42,-0.26,0.09,1721743749266
4.65,-1.66,3.64,-0.1,0.24,-0.12,1721743749275
4.45,6.6,18.41,0.1,0.13,-0.44,1721743749284
-0.71,8.62,7.73,0.36,-0.35,-0.54,1721743749293
-2.57,-2.06,3.16,-0.06,0.1,-0.48,1721743749302
-6.37,-3.64,16.42,-0.2,0.07,-0.28,1721743749311
-4.95,1.35,17.85,0.02,-0.07,0.08,1721743749320
0.88,5.62,16.03,0.14,0.19,0.23,1721743749329
3.38,3.81,5.79,0.13,-0.02,-0.1,1721743749343
2.76,3.79,3.0,0.11,0.18,-0.2,1721743749347
-0.01,-6.3,1.93,-0.23,-0.15,-0.33,1721743749356
-3.88,1.69,12.66,-0.14,0.26,-0.28,1721743749365
-4.23,-0.48,3.09,-0.12,-0.28,-0.06,1721743749374
-2.79,-5.64,7.32,-0.44,0.43,0.07,1721743749383
-3.39,-2.33,19.17,-0.04,-0.07,0.34,1721743749392
3.09,-2.81,12.35,0.01,0.04,0.51,1721743749401
6.45,9.23,12.29,-0.03,0.25,0.25,1721743749410
5.9,4.4,7.66,-0.14,-0.14,-0.41,1721743749419
0.18,-2.64,7.07,-0.22,-0.02,-0.76,1721743749428
-4.75,-3.89,15.62,-0.11,0.09,-0.45,1721743749437
-6.84,3.99,8.8,0.14,-0.07,-0.05,1721743749446
-3.25,6.68,1.4,-0.01,0.16,0.17,1721743749455
-1.21,-3.77,12.36,-0.37,0.12,0.28,1721743749464
0.67,0.73,18.44,-0.03,0.12,0.2,1721743749473
4.14,6.2,5.6,0.07,-0.03,-0.11,1721743749482
1.17,2.42,6.19,-0.36,0.14,-0.39,1721743749491
-1.6,-1.99,18.41,-0.16,0.05,-0.25,1721743749500
-0.43,-2.89,13.31,0.06,-0.04,-0.1,1721743749509
0.16,1.98,12.18,-0.01,0.15,-0.11,1721743749518
-0.64,5.53,14.86,0.14,-0.02,-0.19,1721743749527
-0.3,3.92,7.72,0.15,-0.01,-0.2,1721743749536
-1.95,3.92,7.94,0.12,0.15,-0.27,1721743749545
-2.79,-1.72,6.74,0.05,-0.05,-0.23,1721743749554
-4.53,-4.24,10.06,-0.02,0.19,-0.11,1721743749563
-3.24,0.95,17.82,0.14,0.06,0.18,1721743749572
1.21,7.13,8.77,0.38,-0.08,0.34,1721743749582
4.93,-1.0,4.83,0.11,0.15,0.07,1721743749591
2.61,6.59,13.62,0.19,0.06,-0.4,1721743749601
-1.61,3.52,6.35,0.24,-0.12,-0.53,1721743749611
-5.48,-5.71,7.45,-0.06,0.16,-0.29,1721743749620
-7.86,3.84,14.62,0.23,0.05,0.21,1721743749629
-0.79,6.17,4.24,0.22,0.06,0.45,1721743749638
2.26,-3.25,7.96,-0.3,0.19,0.26,1721743749647
1.8,1.57,24.6,0.05,0.12,-0.11,1721743749656
0.39,6.0,8.67,0.41,-0.25,-0.17,1721743749665
-0.24,-0.07,-0.82,-0.05,0.15,-0.2,1721743749674
-0.22,-3.62,9.35,-0.22,0.07,-0.07,1721743749683
-2.3,1.69,15.26,0.05,-0.03,0.06,1721743749692
-1.19,0.74,7.22,0.03,-0.06,0.13,1721743749701
0.31,-3.99,12.71,-0.18,0.16,-0.02,1721743749710
-1.91,3.03,14.26,0.16,-0.12,-0.07,1721743749719
-1.16,6.51,4.19,0.21,-0.05,0.05,1721743749728
-0.06,2.77,8.13,-0.2,0.11,0.11,1721743749737
-1.04,0.4,12.88,-0.04,-0.06,0.13,1721743749746
2.56,-2.53,0.99,-0.09,-0.09,0.11,1721743749755
1.06,-5.24,9.59,-0.47,0.21,-0.1,1721743749764
-3.06,2.92,20.94,-0.03,-0.14,-0.26,1721743749773
-2.09,3.08,0.87,0.1,-0.17,-0.06,1721743749783
-1.81,2.03,8.3,-0.35,0.3,0.18,1721743749792
-0.91,2.21,19.49,-0.13,-0.05,0.27,1721743749801
2.49,-1.03,9.4,0.13,-0.15,0.12,1721743749810
2.45,-5.71,11.13,-0.23,0.05,-0.06,1721743749819
-1.94,0.67,23.8,-0.01,-0.01,-0.16,1721743749828
-0.59,4.07,10.96,0.4,-0.25,-0.04,1721743749838
0.12,0.18,0.67,0.01,-0.04,0.11,1721743749848
-0.68,1.44,10.02,-0.08,0.12,0.04,1721743749857
0.0,9.19,11.12,0.23,-0.08,0.02,1721743749866
0.57,4.26,-3.73,-0.0,-0.17,0.01,1721743749875
0.28,0.93,8.67,-0.31,0.37,-0.1,1721743749884
0.02,-6.01,16.12,-0.05,-0.35,-0.01,1721743749893
-3.11,-1.21,18.47,0.01,0.09,0.06,1721743749902
0.96,2.57,18.08,0.15,-0.07,0.34,1721743749911
1.11,2.42,6.88,0.2,-0.24,0.45,1721743749920
8.1,4.19,7.99,-0.01,0.26,0.09,1721743749929
2.72,4.71,10.68,0.06,-0.25,-0.32,1721743749938
-1.0,0.7,4.25,0.07,-0.1,-0.42,1721743749947
-3.49,-3.07,9.93,-0.1,0.09,-0.31,1721743749956
-7.45,-2.1,17.2,0.08,-0.17,0.16,1721743749965
-2.29,5.32,13.24,0.35,0.04,0.51,1721743749974
4.12,5.15,5.34,0.1,-0.03,0.51,1721743749983
3.74,4.41,7.42,-0.0,0.04,0.1,1721743749992
5.49,-2.1,8.5,-0.03,-0.1,-0.28,1721743750001
-1.83,-2.29,9.05,-0.08,-0.17,-0.24,1721743750010
-1.19,6.68,11.72,0.17,0.08,-0.05,1721743750019
-1.04,3.36,1.72,0.04,-0.18,0.07,1721743750028
-1.6,-3.05,8.95,-0.35,0.09,0.05,1721743750037
-0.79,-4.76,26.94,-0.06,0.0,0.19,1721743750046
-1.62,0.47,12.65,0.35,-0.43,0.18,1721743750055
2.23,1.89,-0.89,-0.05,0.03,0.03,1721743750064
2.57,2.43,8.83,-0.39,-0.01,-0.08,1721743750073
-1.09,3.02,19.28,0.1,-0.08,-0.11,1721743750082
-1.24,2.67,7.82,0.22,-0.35,0.23,1721743750091
3.08,-1.06,7.12,-0.13,0.27,0.1,1721743750100
-0.08,2.31,11.52,-0.04,-0.3,-0.01,1721743750109
1.69,3.3,5.69,-0.04,0.01,-0.2,1721743750118
0.11,-2.93,9.5,-0.37,-0.1,-0.12,1721743750127
-2.93,2.95,13.93,0.07,-0.03,-0.1,1721743750136
1.2,-13.16,5.16,-0.31,-0.24,0.04,1721743750145
-4.64,5.1,17.54,-0.28,0.21,0.04,1721743750154
1.42,0.44,13.55,-0.12,-0.23,0.02,1721743750163
-2.8,0.59,12.21,-0.12,-0.1,0.07,1721743750172
2.57,3.87,16.86,0.21,0.05,0.11,1721743750181
1.64,-1.78,6.7,0.07,-0.33,-0.01,1721743750190
0.73,2.34,5.32,-0.02,0.07,-0.26,1721743750199
2.55,4.86,6.79,0.02,0.05,-0.41,1721743750208
-2.69,4.57,10.41,-0.0,-0.16,-0.32,1721743750217
-2.04,5.79,12.12,0.13,0.05,-0.14,1721743750226
-0.48,-4.44,6.46,-0.17,-0.07,-0.04,1721743750236
-1.84,-2.21,18.16,-0.13,0.09,0.02,1721743750245
3.31,7.73,18.7,0.31,0.01,0.07,1721743750254
4.18,4.46,1.92,0.11,-0.13,-0.12,1721743750263
3.69,0.87,9.59,-0.15,0.29,-0.56,1721743750272
-1.98,-1.06,19.55,0.12,-0.11,-0.6,1721743750281
-5.93,0.02,11.05,0.29,-0.05,-0.35,1721743750290
-3.09,1.38,8.5,0.07,0.17,0.08,1721743750299
-0.39,4.22,9.05,0.07,0.06,0.29,1721743750308
5.2,2.37,9.47,0.11,0.25,-0.04,1721743750317
3.52,-2.98,6.8,0.01,-0.11,-0.44,1721743750326
-0.71,0.96,10.47,0.1,0.23,-0.61,1721743750335
-2.54,2.44,10.68,0.11,-0.05,-0.4,1721743750344
-3.99,4.41,3.84,0.07,0.07,-0.06,1721743750353
0.38,0.83,2.64,-0.12,0.2,0.07,1721743750362
0.07,-3.28,6.48,-0.35,0.09,-0.09,1721743750371
0.59,-1.12,17.57,-0.15,0.27,-0.33,1721743750380
-1.23,-5.69,15.29,0.04,-0.19,-0.31,1721743750389
-3.31,1.77,11.72,0.18,0.19,-0.2,1721743750398
-0.91,2.97,8.0,0.03,0.02,0.08,1721743750407
0.53,-0.33,9.48,-0.22,0.21,0.06,1721743750416
3.21,-3.05,18.78,-0.0,0.18,-0.21,1721743750425
-0.24,1.7,10.07,0.24,-0.12,-0.29,1721743750434
1.18,6.11,8.04,0.08,0.38,-0.32,1721743750443
-1.07,-1.48,9.2,-0.11,-0.03,-0.19,1721743750452
-2.87,-0.54,11.94,0.06,0.3,-0.17,1721743750461
-0.37,-2.85,10.41,0.03,0.03,-0.01,1721743750470
-2.33,2.17,10.37,0.01,0.19,-0.04,1721743750479
-0.12,6.0,10.01,0.14,0.15,-0.04,1721743750488
-0.08,5.27,8.22,-0.08,0.11,-0.02,1721743750497
0.31,-0.08,15.94,-0.14,0.26,-0.01,1721743750506
0.99,-7.85,14.2,-0.06,0.02,-0.07,1721743750515
0.19,-0.89,12.94,0.13,0.2,-0.12,1721743750524
-0.45,9.7,10.76,0.23,0.06,-0.07,1721743750533
-0.37,5.5,1.47,0.03,0.06,-0.02,1721743750542
-0.5,-0.94,6.07,-0.12,0.32,-0.26,1721743750551
-2.42,-3.78,7.16,-0.04,-0.06,-0.2,1721743750560
-3.51,2.42,11.38,-0.04,0.34,-0.09,1721743750569
-1.54,4.49,16.71,-0.04,0.08,0.09,1721743750578
-1.09,6.75,11.9,0.18,-0.03,0.25,1721743750587
4.79,-4.63,4.23,-0.27,0.15,0.13,1721743750596
1.36,-2.5,14.66,-0.29,0.3,-0.17,1721743750605
1.18,-1.39,15.97,0.13,-0.03,-0.47,1721743750614
-3.54,2.5,0.95,0.04,-0.1,-0.3,1721743750623
-2.39,3.4,7.81,-0.18,0.49,-0.1,1721743750632
-3.94,-5.48,11.64,-0.09,-0.21,0.2,1721743750641
-1.57,0.8,10.2,0.08,0.32,0.11,1721743750650
2.12,-2.25,13.01,-0.09,0.02,0.08,1721743750659
-2.04,1.84,17.81,-0.01,0.07,-0.05,1721743750668
1.12,2.95,14.81,0.29,0.04,-0.02,1721743750677
-0.66,5.65,-0.63,0.19,-0.11,0.14,1721743750686
3.34,1.16,3.75,-0.15,0.42,0.07,1721743750695
0.11,-1.89,21.87,-0.0,0.07,-0.12,1721743750704
