AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
1.56,0.34,7.4,0.14,0.2,0.27,1721207663671
1.14,0.1,5.67,0.12,0.13,0.14,1721207663676
2.7,2.26,10.3,-0.05,0.11,-0.12,1721207663685
0.79,2.64,13.52,-0.1,0.01,-0.2,1721207663695
-1.22,-2.38,11.94,-0.19,0.02,-0.06,1721207663705
-2.37,-4.03,7.82,-0.09,-0.04,0.13,1721207663715
2.51,-5.42,10.06,-0.03,0.22,0.23,1721207663725
2.41,2.39,11.1,0.07,0.01,0.02,1721207663735
0.65,5.54,9.55,0.09,0.02,-0.16,1721207663745
-0.87,6.89,2.02,0.23,0.06,-0.07,1721207663755
0.56,-11.77,3.85,-0.56,0.29,0.03,1721207663765
-6.49,-0.37,30.09,-0.4,-0.05,-0.23,1721207663775
-3.27,7.36,9.79,0.78,-0.21,0.25,1721207663785
6.94,-5.84,-1.9,-0.29,0.37,0.58,1721207663795
-0.97,7.29,17.57,0.22,0.46,0.45,1721207663805
1.96,-4.69,16.88,-0.02,-0.31,-0.22,1721207663815
-5.44,3.41,19.21,-0.01,0.31,-0.52,1721207663825
-6.45,-5.43,14.21,0.2,-0.32,-0.03,1721207663835
-7.79,0.36,10.16,-0.02,0.24,0.54,1721207663845
0.31,8.97,18.78,0.25,0.06,0.76,1721207663855
5.51,8.12,5.39,0.27,-0.1,0.54,1721207663865
6.3,-0.67,6.27,0.05,0.12,-0.07,1721207663875
1.1,-3.92,12.37,-0.09,-0.04,-0.38,1721207663885
-4.62,9.82,9.84,0.27,-0.09,-0.16,1721207663895
-2.03,-0.7,2.68,-0.11,0.03,0.22,1721207663905
-1.84,-6.42,12.97,-0.14,-0.01,0.32,1721207663915
1.14,0.04,10.28,0.15,-0.1,0.23,1721207663925
2.0,3.45,8.1,-0.01,0.0,0.02,1721207663935
0.87,2.16,14.57,-0.09,0.05,-0.14,1721207663945
-2.45,5.53,11.49,0.13,-0.12,-0.1,1721207663955
-1.7,-1.52,1.72,-0.11,-0.11,0.1,1721207663965
0.01,-9.1,8.28,-0.38,0.08,0.24,1721207663975
2.43,-2.15,14.31,-0.07,0.04,0.19,1721207663985
3.38,2.18,12.79,-0.03,-0.01,-0.08,1721207663995
-2.3,4.0,6.67,0.1,-0.27,-0.2,1721207664005
-2.15,2.61,5.85,-0.05,0.15,-0.06,1721207664015
-1.12,-4.36,7.04,-0.4,-0.16,0.33,1721207664025
1.02,-3.0,15.73,-0.28,0.17,0.26,1721207664035
3.24,2.28,11.25,0.01,-0.14,-0.02,1721207664045
1.07,4.55,-0.55,0.09,-0.18,-0.18,1721207664055
-1.87,-6.87,-0.08,-0.42,-0.1,-0.12,1721207664065
-4.32,-6.32,21.4,-0.55,0.16,-0.07,1721207664075
0.4,3.81,26.14,0.03,-0.05,0.1,1721207664085
0.28,4.86,4.07,0.02,-0.25,0.21,1721207664095
0.68,1.08,6.08,-0.28,0.08,0.14,1721207664105
1.9,-1.27,24.68,-0.24,0.05,0.06,1721207664115
-0.86,1.11,11.77,0.09,-0.38,-0.0,1721207664125
0.82,9.88,3.52,0.16,0.32,-0.13,1721207664135
-0.47,-1.46,6.46,-0.22,-0.27,0.1,1721207664145
-3.01,-1.35,11.59,0.14,-0.1,0.18,1721207664155
5.06,-5.91,10.94,0.03,0.22,0.09,1721207664165
1.74,5.58,20.15,0.06,-0.02,-0.2,1721207664175
-0.59,4.99,10.46,0.4,-0.31,-0.16,1721207664185
-0.34,3.0,5.46,0.36,0.19,-0.09,1721207664195
-1.66,-3.9,1.16,0.32,-0.21,0.02,1721207664205
1.08,-3.36,11.75,0.15,0.31,-0.02,1721207664215
1.54,8.73,18.82,0.41,-0.02,-0.11,1721207664225
-0.34,1.6,5.21,0.15,-0.07,-0.34,1721207664235
-3.31,-2.31,13.25,0.02,0.1,-0.27,1721207664245
-1.36,-0.67,8.36,0.43,-0.09,0.22,1721207664255
1.69,-5.51,4.3,0.0,0.17,0.19,1721207664265
2.93,5.32,17.08,0.31,0.19,-0.26,1721207664275
1.71,-0.48,7.3,0.18,-0.18,-0.45,1721207664285
-4.83,1.44,8.03,0.19,0.08,-0.32,1721207664295
-1.88,-2.52,6.11,0.12,0.11,-0.0,1721207664305
-1.47,-1.01,11.85,-0.09,0.1,0.07,1721207664315
1.82,1.33,14.54,0.21,0.05,-0.05,1721207664325
1.7,-1.01,5.61,0.04,0.01,-0.25,1721207664335
-1.09,2.51,12.35,0.03,0.12,-0.37,1721207664345
-1.97,-6.47,17.68,-0.23,0.08,-0.3,1721207664355
-5.97,5.55,14.41,0.37,-0.23,0.02,1721207664365
2.75,6.88,5.14,0.27,0.48,0.03,1721207664375
-2.78,-3.98,-2.15,-0.21,-0.48,0.12,1721207664385
0.76,-0.96,11.54,0.05,0.43,-0.06,1721207664395
3.94,-0.37,13.43,0.04,0.03,-0.21,1721207664405
