AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
-2.88,-7.34,8.98,-0.4,0.14,0.18,1722175411599,cobblestone
0.1,3.65,19.13,-0.18,0.11,0.35,1722175411608,cobblestone
2.32,7.69,5.65,-0.23,-0.01,0.17,1722175411617,cobblestone
1.15,-2.41,13.31,-0.12,-0.13,-0.13,1722175411626,cobblestone
-1.05,-6.37,3.6,-0.15,0.01,-0.2,1722175411635,cobblestone
-3.02,6.26,7.62,-0.0,0.02,-0.15,1722175411644,cobblestone
-5.2,-1.74,12.06,-0.31,0.12,-0.12,1722175411653,cobblestone
-4.0,-5.76,16.64,-0.05,0.11,0.28,1722175411662,cobblestone
-0.36,-5.03,21.08,-0.44,0.33,0.28,1722175411671,cobblestone
2.44,23.0,14.68,0.22,0.01,0.2,1722175411680,cobblestone
2.02,3.49,0.17,-0.38,0.05,0.04,1722175411689,cobblestone
0.5,2.13,19.4,-0.23,-0.02,-0.2,1722175411698,cobblestone
-0.17,-11.3,13.47,-0.43,0.02,-0.21,1722175411707,cobblestone
-2.61,-4.67,10.86,0.0,-0.06,0.05,1722175411716,cobblestone
-2.03,-2.66,5.38,0.25,0.11,0.31,1722175411725,cobblestone
2.11,-1.47,0.4,0.4,0.09,0.38,1722175411734,cobblestone
2.32,22.43,18.98,0.57,0.17,0.12,1722175411743,cobblestone
2.31,30.23,20.07,0.18,0.22,0.02,1722175411752,cobblestone
2.95,-9.23,11.15,-0.52,0.37,-0.2,1722175411761,cobblestone
-0.22,-43.73,5.24,-0.2,-0.35,-0.24,1722175411770,cobblestone
-9.09,11.96,10.84,0.43,-0.25,0.1,1722175411779,cobblestone
0.74,11.13,-7.84,0.45,0.61,0.64,1722175411788,cobblestone
6.22,3.62,17.22,0.4,0.24,0.14,1722175411797,cobblestone
3.37,25.71,20.46,0.58,-0.18,-0.16,1722175411806,cobblestone
2.2,2.23,5.68,-0.35,0.15,-0.28,1722175411815,cobblestone
-1.69,-21.04,11.77,-0.44,-0.11,-0.21,1722175411824,cobblestone
-4.13,-8.51,11.47,0.03,-0.04,-0.06,1722175411833,cobblestone
-3.94,2.3,10.6,0.26,0.17,0.21,1722175411842,cobblestone
-0.68,10.98,0.18,0.55,0.06,0.45,1722175411851,cobblestone
2.32,-2.84,9.89,-0.09,0.24,0.22,1722175411860,cobblestone
2.46,8.71,12.53,0.22,0.05,0.16,1722175411869,cobblestone
3.6,-23.52,5.26,-0.41,-0.07,-0.02,1722175411878,cobblestone
-0.91,-15.26,19.1,-0.23,-0.02,-0.2,1722175411887,cobblestone
-0.81,4.34,28.02,0.32,0.16,0.29,1722175411896,cobblestone
1.22,16.63,-4.36,0.65,0.15,0.32,1722175411905,cobblestone
4.05,8.16,-16.96,0.4,0.06,0.11,1722175411914,cobblestone
2.15,-7.57,7.35,-0.49,0.21,-0.19,1722175411924,cobblestone
-4.89,14.8,50.0,-0.5,-0.13,-0.27,1722175411933,cobblestone
-9.41,-15.5,36.49,-0.08,-0.25,-0.23,1722175411943,cobblestone
-3.51,19.4,-0.03,0.24,0.11,0.83,1722175411952,cobblestone
5.37,-1.42,-16.77,0.26,0.39,1.2,1722175411961,cobblestone
12.41,-4.13,5.98,-0.31,0.4,0.29,1722175411970,cobblestone
5.89,5.37,20.48,0.44,-0.66,-0.82,1722175411979,cobblestone
-6.05,7.19,5.26,0.13,-0.39,-1.01,1722175411988,cobblestone
-11.77,-6.11,9.84,-0.29,0.19,-0.54,1722175411997,cobblestone
-7.01,14.58,16.63,0.16,0.2,0.86,1722175412006,cobblestone
4.56,-22.17,2.83,-0.46,0.24,1.65,1722175412015,cobblestone
14.0,-14.22,8.39,-0.6,0.69,0.41,1722175412024,cobblestone
16.94,19.37,27.83,0.25,-0.58,-0.26,1722175412033,cobblestone
2.42,1.16,1.15,0.38,-0.55,-1.21,1722175412042,cobblestone
-10.24,7.94,16.37,0.25,-0.66,-0.93,1722175412051,cobblestone
-14.86,35.16,25.18,0.36,-0.2,0.04,1722175412060,cobblestone
-6.73,-8.47,4.66,-0.37,0.43,0.93,1722175412069,cobblestone
4.72,-23.19,-11.96,-0.12,-0.27,1.36,1722175412078,cobblestone
18.98,-20.04,18.97,-0.22,1.11,0.12,1722175412087,cobblestone
3.79,27.11,20.63,0.22,-1.65,-0.43,1722175412096,cobblestone
0.09,-9.75,-10.5,0.55,-0.7,-1.39,1722175412105,cobblestone
-8.8,10.5,4.96,-0.4,0.03,-0.8,1722175412114,cobblestone
-12.81,19.46,23.73,-0.29,-0.09,0.19,1722175412123,cobblestone
-4.35,-20.77,19.59,-1.25,0.22,1.13,1722175412132,cobblestone
7.2,-8.94,28.94,-0.39,0.59,0.75,1722175412141,cobblestone
12.47,-0.45,3.41,0.44,-0.18,-0.04,1722175412150,cobblestone
3.95,-17.81,-20.26,0.07,-0.22,-0.74,1722175412159,cobblestone
1.44,-10.34,13.39,-0.38,0.11,-0.71,1722175412168,cobblestone
1.28,1.72,24.67,0.47,-0.81,-0.32,1722175412177,cobblestone
-8.83,-7.72,13.47,-0.44,-0.42,0.05,1722175412186,cobblestone
-4.73,-1.05,29.04,-0.32,-0.05,-0.02,1722175412195,cobblestone
1.5,11.13,6.8,0.03,0.12,0.03,1722175412204,cobblestone
3.24,13.52,-6.17,0.2,0.05,0.25,1722175412213,cobblestone
0.31,-7.92,-0.63,0.06,-0.01,-0.04,1722175412222,cobblestone
-4.63,-7.37,13.86,-0.21,0.04,-0.39,1722175412231,cobblestone
-0.63,-5.24,12.13,-0.28,-0.01,-0.46,1722175412240,cobblestone
-5.0,-6.41,18.05,-0.19,-0.33,-0.51,1722175412249,cobblestone
-6.21,19.35,14.4,0.02,-0.32,-0.41,1722175412258,cobblestone
-4.25,8.04,-1.7,-0.39,-0.17,0.12,1722175412267,cobblestone
-1.17,-6.8,15.51,-0.34,0.16,0.22,1722175412276,cobblestone
3.93,6.78,4.83,0.29,0.05,-0.1,1722175412285,cobblestone
1.42,1.27,6.25,-0.15,0.0,-0.54,1722175412294,cobblestone
-0.79,-13.01,20.56,-0.62,-0.15,-0.51,1722175412303,cobblestone
-2.02,10.95,11.51,0.1,0.02,-0.02,1722175412317,cobblestone
-2.45,13.95,5.44,0.06,-0.05,0.23,1722175412321,cobblestone
-0.4,7.84,15.54,-0.33,0.14,-0.09,1722175412330,cobblestone
-0.43,11.93,10.99,0.27,-0.15,-0.22,1722175412339,cobblestone
-0.76,-10.04,1.11,-0.11,0.06,-0.22,1722175412348,cobblestone
-1.94,-4.73,19.62,-0.11,0.08,-0.07,1722175412357,cobblestone
-2.1,7.58,2.85,0.44,-0.26,0.27,1722175412366,cobblestone
-0.41,0.25,9.07,0.08,-0.04,0.23,1722175412376,cobblestone
1.82,4.27,5.07,0.3,-0.08,0.18,1722175412385,cobblestone
0.27,11.51,21.59,0.17,0.05,-0.09,1722175412394,cobblestone
1.18,6.89,6.03,0.25,-0.05,-0.27,1722175412404,cobblestone
-0.54,1.38,18.38,-0.34,0.06,-0.32,1722175412414,cobblestone
-1.04,8.12,6.51,0.51,-0.35,0.17,1722175412423,cobblestone
2.33,-11.22,8.9,-0.26,0.06,0.4,1722175412433,cobblestone
7.11,3.59,28.0,0.16,0.09,0.2,1722175412442,cobblestone
8.06,4.97,2.47,0.06,-0.05,-0.42,1722175412451,cobblestone
0.11,0.14,11.4,0.17,-0.33,-1.03,1722175412460,cobblestone
-9.41,11.08,-4.38,0.56,-0.39,-0.59,1722175412469,cobblestone
-14.21,8.67,13.8,0.03,-0.02,0.1,1722175412479,cobblestone
-8.78,5.85,13.94,-0.02,-0.16,0.83,1722175412489,cobblestone
-2.42,-7.36,2.46,0.09,0.09,0.95,1722175412498,cobblestone
9.11,-15.97,1.58,-0.24,0.17,0.48,1722175412507,cobblestone
8.5,-1.7,12.59,-0.1,-0.17,-0.36,1722175412516,cobblestone
0.86,-8.93,19.09,-0.1,-0.32,-0.64,1722175412525,cobblestone
-4.69,5.96,19.8,0.3,-0.32,-0.28,1722175412534,cobblestone
-6.44,19.33,2.29,0.64,-0.23,0.15,1722175412543,cobblestone
-2.26,5.22,-4.07,-0.19,0.12,0.49,1722175412552,cobblestone
2.51,4.94,20.27,-0.15,0.04,0.44,1722175412561,cobblestone
