AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
11.56,68.91,10.16,-0.68,-0.5,1.6,1721228208657,cobblestone
1.66,9.58,34.3,-1.24,0.18,1.75,1721228208662,cobblestone
24.61,-29.18,17.28,-0.42,1.13,0.7,1721228208671,cobblestone
17.93,-16.09,29.6,0.87,0.43,-1.2,1721228208681,cobblestone
0.29,42.26,-26.32,0.94,-1.41,-1.72,1721228208690,cobblestone
-1.78,-2.1,-46.68,-0.18,-0.03,-1.51,1721228208700,cobblestone
-20.45,2.65,-23.32,-1.23,0.8,-0.36,1721228208709,cobblestone
-16.76,-62.62,33.84,-1.81,0.65,0.79,1721228208719,cobblestone
-11.39,19.55,78.45,1.64,0.56,1.1,1721228208728,cobblestone
7.17,3.46,-15.45,1.67,-0.77,1.64,1721228208738,cobblestone
20.69,47.3,-38.73,0.73,-0.33,0.31,1721228208747,cobblestone
-1.4,30.93,11.05,-1.51,2.25,-1.07,1721228208757,cobblestone
-6.89,-4.95,-2.27,-0.65,-2.37,-0.25,1721228208766,cobblestone
-27.18,-78.45,-50.62,-1.07,1.52,-0.01,1721228208776,cobblestone
-1.21,-78.45,13.37,-4.37,3.87,0.15,1721228208785,cobblestone
-5.15,59.26,78.45,0.07,2.71,-2.28,1721228208795,cobblestone
0.92,77.84,78.45,1.94,0.69,0.6,1721228208804,cobblestone
-17.64,-68.42,-78.45,3.56,-2.76,1.91,1721228208814,cobblestone
-44.1,-14.96,1.92,0.69,-4.37,1.3,1721228208823,cobblestone
46.65,4.25,-47.0,-4.37,4.37,0.8,1721228208833,cobblestone
5.47,-30.1,78.45,0.1,2.25,-1.25,1721228208842,cobblestone
78.45,78.45,78.45,-0.85,-4.37,-1.41,1721228208852,cobblestone
-21.42,33.64,78.45,1.61,-1.27,-1.52,1721228208861,cobblestone
-18.01,-9.31,-25.88,-1.11,-0.11,-0.69,1721228208871,cobblestone
-14.5,48.58,0.42,0.2,1.95,0.43,1721228208880,cobblestone
-10.69,-12.28,-13.23,0.59,-1.92,1.8,1721228208890,cobblestone
6.48,-20.68,-24.47,-0.04,0.75,1.63,1721228208899,cobblestone
19.84,-13.01,35.7,-0.51,1.18,0.52,1721228208909,cobblestone
2.73,69.18,68.33,0.01,-0.53,-0.02,1721228208918,cobblestone
6.86,6.81,-39.46,0.39,-2.84,-0.87,1721228208928,cobblestone
0.18,-66.05,-37.02,-1.27,1.28,-1.72,1721228208937,cobblestone
-19.47,52.93,35.21,-0.02,0.57,-0.05,1721228208947,cobblestone
-8.34,-21.42,28.06,-0.66,-0.17,0.59,1721228208956,cobblestone
0.04,-2.44,52.11,0.41,1.28,1.03,1721228208966,cobblestone
1.37,41.79,13.68,2.15,-1.35,0.98,1721228208975,cobblestone
23.81,-14.47,-58.73,-0.0,-1.61,-0.19,1721228208985,cobblestone
16.52,-2.81,31.51,-0.82,2.4,-0.66,1721228208994,cobblestone
-2.28,3.61,78.45,-0.07,-2.1,0.59,1721228209004,cobblestone
4.47,1.67,-56.13,1.74,-1.85,-0.32,1721228209013,cobblestone
-8.84,-17.44,-66.8,-1.66,0.74,-0.5,1721228209023,cobblestone
11.06,-45.7,51.57,-1.72,4.01,0.31,1721228209033,cobblestone
54.63,78.45,71.42,0.5,-0.34,0.96,1721228209043,cobblestone
10.48,30.25,-67.47,3.84,-4.25,1.12,1721228209053,cobblestone
21.45,-7.56,-47.0,-1.95,2.08,-0.25,1721228209063,cobblestone
-25.46,17.76,58.81,-1.11,0.94,-0.75,1721228209073,cobblestone
-20.49,-59.6,37.71,2.6,1.18,-0.92,1721228209083,cobblestone
-4.8,-10.42,-38.77,0.76,-2.89,-0.86,1721228209093,cobblestone
-25.95,26.53,-17.85,-0.2,1.29,0.81,1721228209103,cobblestone
1.88,12.32,20.22,-0.92,0.06,2.14,1721228209113,cobblestone
12.43,3.6,39.91,-0.33,1.27,0.95,1721228209123,cobblestone
18.37,42.88,60.57,0.86,-0.56,0.9,1721228209133,cobblestone
21.9,-2.6,-32.24,0.23,-1.16,-0.28,1721228209143,cobblestone
14.39,-24.51,-8.61,-1.29,1.3,-1.45,1721228209153,cobblestone
-21.42,-0.2,46.9,-0.03,-0.7,-1.81,1721228209163,cobblestone
-15.91,-2.78,-11.82,1.54,-1.65,-0.31,1721228209173,cobblestone
-7.24,-28.04,-49.09,0.1,0.16,0.88,1721228209183,cobblestone
2.6,-12.44,-12.43,-1.39,1.12,1.0,1721228209193,cobblestone
12.83,9.86,73.38,-2.07,1.11,0.02,1721228209203,cobblestone
9.87,39.12,78.45,1.6,-0.57,0.23,1721228209213,cobblestone
3.26,-31.3,-36.69,0.94,-2.0,-0.85,1721228209223,cobblestone
2.13,43.93,-43.58,-0.53,0.17,-1.5,1721228209233,cobblestone
-20.11,-32.59,-24.1,-0.82,-0.46,-0.41,1721228209243,cobblestone
-8.27,13.8,57.44,1.05,1.09,-0.31,1721228209253,cobblestone
-6.86,74.55,36.85,1.16,-0.63,1.54,1721228209263,cobblestone
7.15,-31.65,-50.39,-1.15,0.57,2.08,1721228209273,cobblestone
35.72,-69.93,47.88,-2.11,2.69,-0.84,1721228209283,cobblestone
16.06,78.45,27.52,-0.72,-0.49,-1.12,1721228209293,cobblestone
-2.83,13.59,-49.19,3.14,-3.0,-1.55,1721228209303,cobblestone
-3.88,-34.35,-55.83,-1.58,1.05,-1.26,1721228209313,cobblestone
-14.87,33.23,78.45,-0.92,2.23,-1.11,1721228209323,cobblestone
-74.32,38.62,53.26,0.53,-1.84,0.08,1721228209333,cobblestone
1.45,-68.94,-60.48,-0.08,-1.49,1.44,1721228209343,cobblestone
30.46,-42.41,63.63,-0.43,1.87,0.43,1721228209353,cobblestone
12.88,22.87,76.66,-0.06,-0.4,0.33,1721228209363,cobblestone
22.64,1.59,0.04,1.14,-1.04,-0.88,1721228209373,cobblestone
5.6,29.58,-30.03,0.76,-0.18,-0.23,1721228209383,cobblestone
11.76,-0.11,-17.04,0.06,0.94,-0.5,1721228209393,cobblestone
-2.1,31.42,25.19,-0.2,0.48,-0.87,1721228209403,cobblestone
-5.86,-6.94,14.65,-0.5,-0.55,-0.36,1721228209413,cobblestone
-0.51,-31.94,1.53,0.18,0.09,0.19,1721228209423,cobblestone
1.36,15.41,-7.29,-0.7,1.12,0.58,1721228209433,cobblestone
17.07,-54.28,23.06,-2.37,1.15,-0.28,1721228209443,cobblestone
-12.67,8.6,77.54,1.05,0.22,-2.27,1721228209453,cobblestone
-12.68,4.31,10.71,2.55,-1.31,-0.9,1721228209463,cobblestone
-16.2,33.15,-29.83,-0.36,0.99,0.98,1721228209473,cobblestone
0.3,20.75,3.06,-0.66,0.89,1.33,1721228209483,cobblestone
11.77,-42.72,8.74,-1.24,0.03,0.58,1721228209493,cobblestone
3.25,-2.77,49.34,-0.02,1.17,-0.66,1721228209503,cobblestone
0.08,33.12,-1.87,1.93,-1.47,-0.38,1721228209513,cobblestone
4.72,11.14,-60.6,0.28,-0.33,-0.2,1721228209523,cobblestone
0.2,-22.73,24.02,-2.67,2.2,-0.21,1721228209533,cobblestone
7.83,-5.13,78.45,-0.91,-1.62,0.06,1721228209543,cobblestone
1.11,-31.09,-1.97,0.99,-0.55,0.68,1721228209553,cobblestone
11.3,7.47,-23.44,-0.66,1.38,-0.81,1721228209563,cobblestone
-7.47,20.81,0.24,0.96,-0.65,-2.32,1721228209573,cobblestone
-15.62,-9.56,-26.84,0.83,-1.26,-0.46,1721228209583,cobblestone
-13.46,45.51,2.06,0.43,2.12,0.54,1721228209593,cobblestone
-15.19,11.4,55.11,-2.26,-0.7,0.91,1721228209603,cobblestone
-2.4,-26.99,57.42,-1.13,0.93,-0.42,1721228209613,cobblestone
1.64,-17.23,48.37,0.41,-0.91,0.13,1721228209623,cobblestone
-9.6,-12.6,-35.36,0.15,-1.15,0.71,1721228209633,cobblestone
15.7,13.61,-29.33,0.97,1.21,0.84,1721228209643,cobblestone
10.28,0.24,-26.95,1.55,-0.95,0.33,1721228209653,cobblestone
15.65,10.54,32.99,-0.59,3.11,-0.78,1721228209663,cobblestone
-6.94,44.4,78.45,-1.06,-0.75,-1.72,1721228209673,cobblestone
