AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
-1.01,-3.97,7.84,-0.13,0.05,-0.01,1721199628640
-1.73,-0.57,13.98,-0.16,0.11,-0.02,1721199628644
-4.13,11.03,14.42,0.31,-0.17,0.13,1721199628653
-0.91,-3.47,2.64,-0.24,-0.0,0.23,1721199628663
-0.99,-6.12,17.69,-0.15,-0.12,0.45,1721199628672
1.96,-0.61,9.43,0.1,-0.03,0.32,1721199628682
0.3,5.96,6.4,-0.08,-0.14,-0.05,1721199628692
0.46,-2.01,12.99,-0.17,-0.0,0.03,1721199628702
-4.24,-1.99,7.78,0.03,-0.28,0.14,1721199628712
0.08,-4.34,11.33,-0.31,0.18,0.23,1721199628722
-0.21,4.59,14.63,0.03,-0.18,0.29,1721199628732
0.12,-2.8,12.43,-0.15,-0.09,0.18,1721199628742
-1.34,-1.13,6.06,0.05,-0.29,0.26,1721199628752
1.33,1.13,12.66,-0.16,0.16,0.05,1721199628762
2.67,-3.38,9.01,0.07,-0.34,0.11,1721199628772
-2.19,3.46,14.51,-0.11,0.09,-0.03,1721199628782
1.81,-5.43,10.01,-0.06,-0.19,0.24,1721199628792
-0.51,0.92,7.25,-0.09,-0.01,0.17,1721199628802
2.09,-0.9,7.17,-0.06,0.0,-0.06,1721199628812
0.64,-7.19,10.53,-0.17,-0.21,-0.07,1721199628822
-2.38,2.93,16.01,0.1,0.0,-0.02,1721199628832
1.8,3.96,12.5,0.17,0.08,0.17,1721199628842
0.77,2.41,9.49,-0.02,-0.12,0.19,1721199628852
-0.09,-2.52,8.11,-0.07,-0.05,-0.07,1721199628862
0.5,2.18,15.74,0.1,0.06,-0.26,1721199628872
-0.94,-5.68,1.75,0.06,-0.3,0.08,1721199628882
-2.18,7.17,17.54,0.15,0.24,0.12,1721199628892
4.86,1.68,3.57,0.26,0.02,0.12,1721199628902
-0.09,-0.67,13.89,-0.11,-0.04,-0.31,1721199628912
-2.92,3.84,8.8,0.4,-0.1,-0.28,1721199628922
-2.44,-2.12,10.42,-0.1,0.22,-0.05,1721199628932
-2.07,4.3,14.99,0.38,-0.19,0.4,1721199628942
4.11,1.06,8.31,0.16,0.29,0.12,1721199628952
3.82,3.25,10.99,0.26,-0.18,-0.18,1721199628962
1.89,4.95,6.1,0.14,0.15,-0.35,1721199628972
0.24,-4.57,10.57,-0.07,0.1,-0.4,1721199628982
-3.17,2.04,14.19,0.24,0.05,-0.24,1721199628992
-1.83,2.09,1.78,0.16,0.07,0.03,1721199629002
-0.5,-1.21,13.46,-0.16,0.18,-0.11,1721199629012
1.87,2.42,9.07,0.24,0.04,-0.13,1721199629022
3.19,-0.74,16.69,-0.22,0.39,-0.48,1721199629032
-2.29,8.41,10.3,0.47,-0.29,-0.38,1721199629042
-0.93,-2.84,1.29,-0.37,0.49,-0.38,1721199629052
-2.91,2.19,14.77,0.22,-0.43,-0.06,1721199629062
3.49,-8.31,3.73,-0.35,0.48,-0.23,1721199629072
-0.2,1.4,22.04,0.14,-0.13,-0.28,1721199629082
