AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
0.68,-1.11,9.56,0.0,-0.15,0.12,1721200973670
0.94,0.13,9.66,-0.19,-0.06,0.18,1721200973674
-0.81,6.72,11.78,0.13,-0.26,0.16,1721200973683
2.42,-5.08,-0.18,-0.21,0.01,0.01,1721200973693
-0.58,0.22,15.65,-0.08,-0.11,-0.21,1721200973702
0.89,-2.5,9.9,0.22,-0.34,-0.01,1721200973712
-0.63,9.02,10.81,0.24,0.03,0.08,1721200973722
2.15,3.56,9.89,0.11,-0.05,0.05,1721200973732
-2.09,-2.64,13.06,-0.12,-0.23,-0.06,1721200973742
-2.14,1.2,11.42,0.16,-0.16,0.09,1721200973752
2.86,-0.8,5.25,0.1,0.0,0.09,1721200973762
2.92,1.11,10.76,0.26,-0.2,-0.08,1721200973772
1.25,-4.06,5.4,0.05,-0.07,-0.2,1721200973782
-3.85,10.56,19.78,0.3,-0.06,-0.06,1721200973792
0.32,-5.99,5.71,-0.02,-0.12,0.16,1721200973802
0.14,-3.3,13.56,-0.07,-0.1,0.13,1721200973812
2.92,2.83,7.99,0.24,-0.02,-0.05,1721200973822
1.11,3.53,10.86,0.02,-0.1,-0.28,1721200973832
-0.31,-3.8,5.88,0.12,-0.23,-0.08,1721200973842
-1.32,3.84,14.6,0.09,0.19,-0.07,1721200973852
1.53,-1.69,8.84,0.1,-0.1,0.01,1721200973862
0.41,5.66,15.33,0.15,0.04,-0.05,1721200973872
3.76,-6.02,8.69,-0.06,0.04,-0.14,1721200973882
0.12,0.72,10.13,0.18,-0.17,-0.14,1721200973892
2.98,2.95,4.41,0.16,0.34,-0.36,1721200973902
1.34,1.5,6.71,0.11,-0.07,-0.44,1721200973912
-2.06,-2.48,6.46,-0.0,-0.02,-0.29,1721200973922
-1.52,-0.78,15.58,-0.02,0.36,-0.37,1721200973932
-0.13,-0.06,13.62,0.08,0.08,-0.34,1721200973942
-2.09,2.51,8.76,0.06,-0.02,-0.23,1721200973952
-0.49,1.45,12.61,-0.14,0.33,-0.37,1721200973962
-2.84,4.62,6.04,0.23,-0.15,-0.43,1721200973972
-1.03,-1.32,8.61,-0.26,0.39,-0.31,1721200973982
0.82,-1.16,13.82,-0.02,0.03,-0.12,1721200973992
0.13,-1.45,10.23,-0.21,0.1,-0.34,1721200974002
-1.89,7.88,11.44,0.13,0.02,-0.32,1721200974012
0.37,-0.98,5.53,-0.34,0.26,-0.35,1721200974022
-2.55,4.34,16.34,-0.0,-0.14,-0.2,1721200974032
1.49,-3.41,8.47,-0.25,0.27,-0.12,1721200974042
1.2,1.83,14.63,-0.06,0.05,-0.22,1721200974052
-0.07,-0.37,5.14,-0.1,0.03,-0.42,1721200974062
-2.45,1.3,13.01,-0.06,0.11,-0.28,1721200974072
-2.5,-2.3,8.26,-0.04,0.04,-0.24,1721200974082
-3.11,-0.89,13.3,-0.1,0.12,-0.11,1721200974092
1.43,4.07,14.88,0.06,0.33,0.1,1721200974102
1.68,-0.66,2.86,-0.08,-0.07,-0.11,1721200974112
-0.1,-1.04,15.59,-0.13,0.22,-0.3,1721200974122
0.37,-2.66,10.03,0.06,0.01,-0.3,1721200974132
-3.1,-1.2,6.26,-0.07,0.01,-0.18,1721200974142
-1.76,2.98,9.77,-0.03,0.25,-0.13,1721200974152
0.22,3.65,10.58,0.07,0.06,-0.08,1721200974162
-0.27,-1.01,7.08,-0.12,0.08,-0.17,1721200974172
-1.73,-2.73,15.06,-0.19,0.15,-0.21,1721200974182
-1.53,-1.34,9.74,-0.08,-0.01,0.08,1721200974192
0.28,3.27,7.51,0.0,0.16,0.0,1721200974202
2.44,-3.84,8.03,-0.12,0.13,-0.21,1721200974212
-0.23,-3.11,12.59,-0.05,-0.05,-0.19,1721200974222
-2.03,4.88,10.97,0.12,0.04,-0.24,1721200974232
-2.09,8.23,14.78,0.07,0.19,-0.14,1721200974242
-1.76,2.24,10.76,0.03,0.0,0.05,1721200974252
-1.47,-7.45,4.78,-0.06,-0.05,0.15,1721200974262
1.69,1.37,14.08,0.16,0.33,-0.1,1721200974272
0.67,1.21,5.22,0.15,-0.22,-0.19,1721200974282
-3.08,5.99,13.15,0.05,0.13,-0.24,1721200974292
1.01,-5.25,14.38,0.06,0.2,-0.06,1721200974302
-1.91,-1.71,12.39,0.01,-0.02,0.03,1721200974312
-2.76,3.49,3.56,0.2,0.06,-0.11,1721200974322
0.91,1.77,16.53,-0.02,0.31,-0.17,1721200974332
0.37,-2.77,9.2,0.17,-0.37,-0.1,1721200974342
-0.02,2.32,11.94,0.09,0.32,-0.06,1721200974352
0.88,-0.33,9.97,0.09,-0.15,-0.05,1721200974362
-4.71,-0.74,6.87,0.05,-0.14,-0.04,1721200974372
-1.87,1.04,11.46,0.13,0.33,-0.11,1721200974382
1.5,-1.72,8.06,0.12,-0.18,0.13,1721200974392
0.39,3.62,13.09,0.12,0.1,0.09,1721200974402
2.8,2.03,11.02,0.11,0.09,-0.22,1721200974412
-1.48,2.79,5.59,0.19,-0.19,-0.26,1721200974422
-2.21,-2.55,5.26,0.07,0.07,0.0,1721200974432
-2.12,-2.99,15.63,-0.09,-0.06,0.11,1721200974442
-1.69,6.4,14.25,0.28,-0.1,-0.02,1721200974452
1.28,-3.12,6.05,-0.15,0.19,-0.06,1721200974462
-2.0,-0.36,14.15,0.04,-0.14,-0.07,1721200974472
-0.52,-2.6,6.26,0.08,-0.03,0.03,1721200974482
0.53,4.0,12.5,0.15,0.03,0.15,1721200974492
2.83,3.14,5.33,0.24,-0.06,-0.04,1721200974502
2.43,-0.4,9.16,-0.09,-0.01,-0.14,1721200974512
-0.21,4.89,12.41,0.13,-0.05,-0.2,1721200974522
-0.79,-0.46,12.81,-0.15,0.09,-0.31,1721200974532
-2.51,-2.93,10.52,0.07,-0.24,0.1,1721200974542
1.7,4.33,12.63,0.01,0.42,0.22,1721200974552
3.33,-1.68,6.47,-0.09,-0.32,-0.07,1721200974562
-1.47,4.6,13.03,0.0,0.02,-0.3,1721200974572
-0.56,0.26,7.43,-0.01,0.09,-0.32,1721200974582
-5.46,-1.72,9.48,-0.16,-0.22,-0.2,1721200974592
-5.44,-0.43,12.79,-0.09,0.03,0.16,1721200974602
-0.86,-0.13,9.24,-0.01,-0.04,0.39,1721200974612
1.94,0.89,11.5,-0.14,0.02,0.21,1721200974622
2.68,1.77,8.36,0.07,-0.12,-0.08,1721200974632
0.82,-1.81,6.65,-0.2,0.02,-0.27,1721200974642
-1.26,1.4,13.63,-0.04,-0.13,-0.19,1721200974652
-0.98,-6.0,9.05,-0.27,0.02,0.01,1721200974662
-2.36,4.27,15.62,0.01,-0.04,0.06,1721200974672
1.19,-4.77,0.32,-0.1,-0.1,0.01,1721200974682
-1.16,-2.51,9.7,-0.29,0.02,-0.04,1721200974692
-0.24,7.58,13.64,0.05,0.02,-0.05,1721200974702
-0.6,-3.39,7.02,-0.24,-0.15,-0.1,1721200974712
-2.62,-3.95,12.76,-0.27,-0.09,-0.01,1721200974722
0.43,0.27,10.24,-0.19,0.12,-0.06,1721200974732
-0.36,0.2,11.65,-0.25,-0.13,-0.06,1721200974742
-1.52,3.99,9.12,-0.01,-0.16,0.02,1721200974752
2.33,3.61,10.66,-0.13,0.16,-0.11,1721200974762
1.17,-6.68,8.88,-0.31,-0.23,-0.23,1721200974772
-2.81,3.77,16.94,-0.12,-0.03,-0.21,1721200974782
-0.22,-1.46,10.58,-0.07,0.04,0.01,1721200974792
-1.01,2.35,6.9,0.09,-0.17,0.22,1721200974802
2.62,7.08,8.98,0.15,0.26,-0.11,1721200974812
1.05,1.63,13.08,0.14,-0.22,-0.32,1721200974822
-0.98,-1.62,9.67,-0.01,-0.0,-0.33,1721200974832
0.06,-0.07,10.22,0.08,0.14,-0.15,1721200974842
